Yext ID,Name,National Provider Identifier (NPI),Categories 1,Categories 2,Categories 3,Categories 4,Categories 5,Categories 6,Categories 7,Categories 8,Categories 9,Categories 10,Categories 11,Address > Line 1,Address > Line 2,Address > Sublocality,Address > City,Address > Region,Address > Postal Code,Address > Extra Description,Main Phone > ISO Country Code,Main Phone > Phone Number,Featured Message > Description,Featured Message > URL,Entity ID
10806188,Conviva Care Center Suncrest Road,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,6803 Lake Worth Rd.,Suite 210,,Greenacres,FL,33467,,US,5619672334,A New Vision in Health Care,https://www.mccigroup.com/,462
10806189,Conviva Care Center Cocogate,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1316 N. State Road 7,,,Margate,FL,33063,,US,9549689993,A New Vision in Health Care,https://www.mccigroup.com/,463
10806190,Conviva Care Center Sunrise,,Cardiology,Pulmonology,,,,,,,,,,1208 N University Drive,,,Plantation,FL,33322,,US,9545830412,A New Vision in Health Care,https://www.mccigroup.com/,468
10806191,Conviva Care Center Pembroke Pines,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,3 SW 129th Ave,Suite 101,,Pembroke Pines,FL,33027,,US,9544334200,A New Vision in Health Care,https://www.mccigroup.com/,466
10806192,Conviva Care Center South Orlando,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4151 Hunters Park Lane,Suite 132,,Orlando,FL,32837,,US,4072514486,A New Vision in Health Care,https://www.mccigroup.com/,467
10806193,RMA Medical Centers New Smyrna Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,406 PalMetCareto Street,Suite A,,New Smyrna Beach,FL,32168,,US,3864231212,A New Vision in Health Care,https://www.mccigroup.com/,464
10806194,Conviva Care Center Pasadena Lakes,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,2295 N University Drive,,,Pembroke Pines,FL,33024,,US,9549831969,A New Vision in Health Care,https://www.mccigroup.com/,465
10806195,Conviva Care Center N. University,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7900 N. University Drive,,,Tamarac,FL,33321,,US,9547220130,A New Vision in Health Care,https://www.mccigroup.com/,469
10806196,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,6101 Blue Lagoon Drive,Suite 400,,Miami,FL,33126,,US,3056625200,An Evolution in Patient Care,https://www.convivacaresolutions.com/,470
10806197,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7077 Bonneval Rd,Suite 610,,Jacksonville,FL,32216,,US,9043320414,An Evolution in Patient Care,https://www.convivacaresolutions.com/,471
10806198,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,3361 Rouse Road,Suite 205,,Orlando,FL,32817,,US,4077811991,An Evolution in Patient Care,https://www.convivacaresolutions.com/,472
10806199,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7800 West Oakland Park Blvd,Suite E 214,,Ft Lauderdale,FL,33351,,US,9543186590,An Evolution in Patient Care,https://www.convivacaresolutions.com/,473
10806200,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,9080 Kimberly Blvd,Suite 1,,Boca Raton,FL,33434,,US,5614878865,An Evolution in Patient Care,https://www.convivacaresolutions.com/,474
10806201,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,775 Indiantown Road,Suite 4,,Jupiter,FL,33458,,US,5617442232,An Evolution in Patient Care,https://www.convivacaresolutions.com/,475
10806202,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,800 N Shoreline Blvd,Suite 1400 South Tower,,Corpus Christi,TX,78401,,US,3619040820,An Evolution in Patient Care,https://www.convivacaresolutions.com/,476
10806203,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,10435 Vista Del Sol Drive,,,El Paso,TX,79925,,US,9155916227,An Evolution in Patient Care,https://www.convivacaresolutions.com/,477
10806204,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,711 Navarro Street,Suite 600,,San Antonio,TX,78205,,US,2103540800,An Evolution in Patient Care,https://www.convivacaresolutions.com/,478
10806205,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,471 West Main Street,,,Louisville,KY,40202,,US,8004862620,An Evolution in Patient Care,https://www.convivacaresolutions.com/,479
10806206,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7248 SW 42 Terrace,,,Miami,FL,33155,,US,3052627311,An Evolution in Patient Care,https://www.convivacaresolutions.com/,480
10806207,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,6101 Blue Lagoon Drive,4th Floor,,Miami,FL,33126,,US,3054636600,An Evolution in Patient Care,https://www.convivacaresolutions.com/,481
10806208,Conviva Care Solutions,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,777 Yamato Rd,,,Boca Raton,FL,33431,,US,5618058500,An Evolution in Patient Care,https://www.convivacaresolutions.com/,482
10806209,Conviva Physician Group,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,6101 Blue Lagoon Drive,Suite 400,,Miami,FL,33126,,US,3056625200,We Understand Physicians Because We are Physicians,https://www.convivaphysicians.com/,483
10894688,Conviva Care Center Centrum,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1 SW 129th Ave,Suite 405,,Pembroke Pines,FL,33027,,US,9549092912,A New Vision in Health Care,https://www.mccigroup.com/,497
10894689,Conviva Care Center Weston Windmill,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,"17160 Royal Palm Blvd, Suite 2",,,Weston,FL,33326,,US,9547626440,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,494
10894690,Conviva Care Center Yulee,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,463646 SR 200,Suite 125,,Yulee,FL,32097,,US,9047753601,Helping You Live Your Best Life,,496
10894691,Conviva Care Center Hilliard,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,551856 US Highway,Suite 108,,Hilliard,FL,32046,,US,9048622482,Helping You Live Your Best Life,,493
10894692,Conviva Care Center West Boca Raton,,Dermatology,,,,,,,,,,,9030 Kimberly Blvd.,,,Boca Raton,FL,33434,,US,5614883734,A New Vision in Health Care,https://www.mccigroup.com/,490
11558127,"South Palm Medical Associates, Inc",,Conviva Care Centers,Internal Medicine,Medical Clinic,,,,,,,,,10151 Enterprise Center Cir,Suite 101,,Boynton Beach,FL,33437,,US,5617322136,,,537
11558128,Carew Medical Group,,Conviva Care Centers,Internal Medicine,,,,,,,,,,12600 Pembroke Road,Suite 204,,Pembroke Pines,FL,33027,,US,9549876276,,,538
11558129,Colony Springs Medical Center,,Conviva Care Centers,Medical Clinic,,,,,,,,,,7737 N University Dr.,Suite 107,,Tamarac,FL,33321,,US,9547200056,,,539
11558130,Elite Primary Care,,Conviva Care Centers,Family Practice Physician,,,,,,,,,,1490 Forest Hill Blvd.,,,West Palm Beach,FL,33406,,US,5619675350,We can accommodate same day appointments,,540
11558131,Northwest Family Health Center,,Conviva Care Centers,Medical Clinic,,,,,,,,,,5844 North Orange Blossom Trail,,,Orlando,FL,32810,,US,4076021100,,,541
11558132,"Southwest Orlando Family Medicine, P.L.",,Conviva Care Centers,Family Practice Physician,,,,,,,,,,7400 Docs Grove Circle,,,Orlando,FL,32819,,US,4073529717,Award-winning practice in the community since 1989,,542
11558133,Universal Medical Group Of North Miami Beach,,Conviva Care Centers,Internal Medicine,Family Practice Physician,,,,,,,,,17064 W Dixie Hwy,,,North Miami Beach,FL,33160,,US,3056501942,We do take walkins,,543
13666619,Nicole Anzalone & co.,,Conviva Care Centers,Cardiology,Doctor,,,,,,,,,1 Madison Ave,Floor 5,,New York,NY,10010,,US,4844590615,schedule an appointment,,1234
